id,game_score,role_title,role_description,role_alignment,role_type_id
26,-6,Werewolf Cub,"You cannot kill people at night (only your wolf partners can). After the ___ night, you gain the power to kill at night.",Evil,Wolf
27,-5,Self Awarewolf,"While you are alive, the wolf team may only kill players at night that YOU have downvoted.",Evil,Wolf
28,-5,Wolf-in-Hiding,"You do not know who your wolf partner is. Every night, point at another player and see if they are your wolf teammate. If they are, you are immediately added to wolf chat. Your wolf partner cannot kill you at night.",Evil,Wolf
29,-4,Minion,You are on the werewolf team. The werewolves are: ________. They do not know that you are on your team.,Evil,Minion
30,-9,Minion Bus Driver,"You are on the werewolf team. The werewolves are: ________. They do not know that you are on your team. Every night choose two people, what happens to them tonight is swapped. You may choose yourself, but not two nights in a row.",Evil,Minion
31,-6,Minion Medic,"You are on the werewolf team. The werewolves are: ________. They do not know that you are on your team. Choose someone each night, they can't die or be poisoned this night. You may choose yourself. You cannot choose the same person 2 nights in a row.",Evil,Minion
32,-7,Minion Roleblocker,"You are on the werewolf team. The werewolves are: ________. They do not know that you are on your team. Additionally, wake at night and choose another player. If they have a power, they won't be able to use it.",Evil,Minion
33,-9,Minion Corrupter,"You are on the werewolf team. The werewolves are: ________. They do not know that you are on your team. Additionally, wake at night and choose another player. If they have a power, their power will do the opposite of what it's supposed to.",Evil,Minion
34,7,Seer,Choose someone each night and learn if they are a werewolf or a villager.,Town,Vision
35,7,Investigator,"Look at two people, mod tells you if they are on the same team, or opposite teams",Town,Vision
36,4,Prophet,Every night you may ask the mod if a role is in the game,Town,Vision
37,2,Peeping Tom,"Each night, look at someone and be told if they woke up at night. (If a player has a limited use role, like witch, they will wake up every night until they've used all their shots. Once they've used their powers, they won't wake up on subsequent nights).",Town,Vision
38,2,Lost Mason,You are a villager. In this village there is another mason. Every night you get to look at someone and the mod will tell you if they're a mason or not.,Town,Vision
39,2,Forensics Expert,"You are on the village team. Every night choose a player, the mod will tell you if they were targeted tonight, and if so by what role.",Town,Vision
40,5,The Sleuth,You are on the village team. Every night choose another player. You will be told if they kill people at night.,Town,Vision
41,5,Private Seer,"You are a seer, but another player decides who you look at each night (that player will message the mod, and the mod will message you). You may refuse if you like, but then you can't use your power the rest of the game.",Town,Vision
42,1,Examiner,Every night choose another player. Learn if they were pointed at by a werewolf tonight.,Town,Vision
43,2,Sponsor,"There is a drunk in this game. During the ___ night, they will become a ___.",Town,Vision
44,4,Medic,"Choose someone each night, they can't die this night. You may choose yourself. You cannot choose the same person 2 nights in a row.",Town,Medic
45,3,Private Medic,"You are a medic, but another player decides who you save each night (that player will message the mod, and the mod will message you). You may refuse if you like, but then you can't use your power the rest of the game.",Town,Medic
46,4,Golden Medic Jr.,On night one you may choose another player. That player cannot die at night for the rest of the game.,Town,Medic
47,1,Medic Jr.,Once per game you get to save someone at night,Town,Medic
48,2,The Shepherd,"Every night choose another player. That player cannot be roleblocked, corrupted, or bus-driven by werewolves tonight.",Town,Medic
49,5,Vigilante,You may choose someone each night and kill them. You win with the villagers.,Town,Kill
50,3,Private Vigilante,"You are a vigilante, but another player decides who (and if) you kill each night (that player will message the mod, and the mod will message you). You may refuse if you like, but then you can't use your power the rest of the game.",Town,Kill
51,3,Desperado,"You have 1 shot at night per game. If you are ever the last player remaining with a wolf, you win the game for the village instaead of the wolf team.",Town,Kill
52,3,The Silent,Evey night poison another player. That player will die the next time they vote down on you this game (their vote will still count towards you).,Town,Kill
53,4,Villager with a Baseball Bat,"Every night target another player. They will die, but only if the werewolves agree for them to die as well. The kill will be flavored as a wolf kill.",Town,Kill
54,4,Villager with a Big Iron on his Hip,"You may choose someone each night and kill them. You win with the villagers. Another villager: Texas Red, must die before the wolves in order for you to win the game.",Town,Kill
55,3,Veteran,"Once per game, at night, you may go ""on alert."" If you are on alert, you cannot die tonight, and if someone tries to kill you, they die instead.",Town,Wild
56,8,Genie,"You get 2 wishes per game. At night you may use a wish to: protect, seer, kill, silence, bus driver (swap what happens to 2 people), roleblock, investigate (look at 2 people and see if they're on the same team), or prophet (ask if a role is in the game, if it is you get to know what they did tonight). You can use each power once.",Town,Wild
57,5,Downvote Daddy,"You are a villager. Every time there is a downvote during the day, you get a downvote point. At _ downvote points you choose to become either a medic, seer, or vigilante that night (you will be able to use your power immediately).",Town,Wild
58,4,Soothsayer,"At the beginning of the night, predict who will die that night (or guess ""no one will die""). If you are correct, the next night choose to become medic seer or vigilante.",Town,Wild
59,6,Ali-Adjacent,"You start the game as a regular villager. If you claim vigilante to the village, you become a medic. If you claim medic, you become a seer. If you claim seer, you become a vigilante. You may only become one of these per game, so choose your claim wisely!",Town,Wild
60,7,The Trader,"Every night you may seer, medic, or vig another player. If you use a power, you lose your vote the next day (still upvote/downvote each nomination, but the mod will not count your vote).",Town,Wild
61,4,Lover Scorned,"At the beginning of the game, choose another player. While that player is alive, you have the power to medic people at night. When that player dies, you have the power to shoot people at night (you will gain this power as soon as the player's death is announced to the town).",Town,Wild
62,3,Man of his Word,"If you upvote 3 times in one day, you gain the power to heal tonight. If you downvote 3 times in one day, you gain the power to shoot tonight.",Town,Wild
63,4,The Witch,"Once per game, at night, you may shoot someone. Once per game you could protect someone from dying.",Town,Witch
64,6,The Bog Witch,You get one bus drive and one seer per game. You may not use both powers on the same night.,Town,Witch
65,4,The Hedge Witch,You get one poison and one prophet per game. You may not use both powers on the same night.,Town,Witch
66,7,Bus Driver,"choose two people, what happens to them at night is swapped. You may choose yourself, but not two nights in a row.",Town,Chaos
67,2,Bus Rider,"Once per game you may choose yourself and another player, whatever happens to the two of you tonight is swapped.",Town,Chaos
68,3,Trolly Driver,"Choose two people, whatever happens to either of them tonight, happens to both of them (target of wolf kill, medic, seer, etc.)",Town,Chaos
69,3,Judge,"You are a villager, every night choose someone besides you, and their vote doesn't count the next day",Town,Voting
70,3,Lawyer,"You are a villager, every night choose someone besides you, and their vote counts twice the next day",Town,Voting
71,3,Campaign Manager,Every night choose another player. The next day on the third vote (if there is a third vote) that player 100% controls the vote (they will not be told this).,Town,Voting
72,1,Adjudicator,"Every night choose another player. The second vote of the day wil be on that player (immediately after the first vote, the village will be alerted of this. That player gives their defense, and may allow others to talk, then the vote will happen).",Town,Voting
73,2,Purifier,"You are on the village team. Every night choose another player to purify. This night and for the rest of the game, that player will appear to seers and investigators as their true allignment.",Town,Vision
74,4,Medium,"Every night, choose a dead player. If they had a power, you may use it tonight.",Town,Wild
75,2,Ice Cream Seller,"You are a villager. Every night, choose another player. If that player has a power, they get to use it twice tonight (this applies to werewolves as well).",Town,Wild
76,1,Gravedigger,"You are a villager. Every night, choose a dead player. The mod will tell you what their role was.",Town,Vision
77,3,Villager with a vacation coming up,"once per game at night you can go on vacation. If you do you cannot be killed that night, and you will not participate in the village (via talking, nominating, or voting) the next day. You will return the following night. If you leaving the village puts the wolves at parity during the day, it will not lose the game for town.",Town,Villager
78,3,Sandman,"At any point during the day, once per game, announce ""night falls,"" and immediately go to night.",Town,Junior
79,3,Andman,"Once per game, after someone is downvoted and killed, or after the third nomination of the day, you may announce to the town ""another one"" and a fourth nomination may occur",Town,Junior
80,6,Copycat,Every night choose another player. Copy their power for tonight (you gain the power to kill if you target the Alpha wolf only).,Town,Chaos
81,6,Body Snatcher,"You are a villager. When a non-werewolf role dies at night, you gain that power during the next day and/or night (if more than one power role dies at night, gain both powers).",Town,Wild
82,-1,Cupid,"At the beginning of the game, choose two other player. They are in love, and will be told so. If one of them die, the other dies as well.",Town,Meta
83,6,Tarot Card Reader,You are on the village team. Every night choose ___ players. The werewolves must choose their kill among those people tonight (they may choose to no-kill).,Town,Chaos
84,1,Villager Client,"There is a Private ______ in this town. You get to choose their target each night. Message me the name and I will tell them. They may refuse to use their power on this person, but if they do, they lose their power for the rest of the game.",Town,Villager
85,7,Aladdin,"Every night you may target another player. If they have an active power, steal it for the night. You may only steal powers that are more powerful than previous powers you've stolen.",Town,Voting
86,2,Memer,Every night choose another player. Choose a meme to send to that player. You may sign your name or remain anonymous.,Town,Communication
87,2,Scribe,Every night you may send a message to another player. You may sign your name or remain anonymous.,Town,Communication
88,2,Town Crier,Every night message the mod a message. It will be spam copy-and-pasted in wolf chat.,Town,Communication
89,3,Mason,"You are a villager, and you also know the other mason is a villager.",Town,Info
90,2,Diseased Villager,"If the werewolves eat you, they don't get to kill the next night.",Town,Villager
91,2,Gunslinger,"If you and a werewolf are alive at the end of the game, the village wins instead of the werewolves",Town,Villager
92,4,Nullifier,"You are a villager. At least one werewolf in this game has an active power. Werewolves will not be able to use ACTIVE powers (IE roleblock, corrupt) while you are alive. Passive wolf powers (wolf idiot, shaved wolf) are unaffected.",Town,Villager
93,3,Clone,"At the beginning of the game, choose another player. When they die, copy their role for the rest of the game.",Town,Chaos
94,1,Famous Villager,"You are really famous, everyone has heard of you!",Town,Villager
95,0,Villager with Ice Cream,"You are a villager. If you are targeted by a role at night, that role will get to use their power a second time (this applies to werewolves as well).",Town,Villager
96,2,Tipsy,"You start the game as a villager, on the __ night, you will become a ___.",Town,Chaos
97,1,Drunk,"You start the game as a basic villager. During the ____ night, you will be told your new role.",Town,Chaos
98,3,Silent Mason,"You are a villager, and you also know the other mason is a villager. You CANNOT claim mason.",Town,Villager
99,2,Trapper,You will be told every player that targets you every night,Town,Info
100,2,Lighthouse Keeper,You will be told every role that targets you every night,Town,Info
101,2,Mathematician,"At the end of every night you will be told how many roles in this game have a limited use power left unused (IE if a medic jr, seer sr, and witch haven't used any of their powers, you will be told ""3"").",Town,Info
102,-3,Augur,"You are on the village team. Right now choose one of the following roles to be included in the game: Werewolf Corrupter, Werewolf Bus Driver, Werewolf with a shotgun, Shaved Wolf (wolf powers vary)",Town,Wild
103,3,Hero,"You are a villager. If you are killed by wolves, you survive the next day, and will die the NEXT night (the mod will message you the night you are targeted by wolves).",Town,Villager
104,7,Zombie,"You are a villager. Also, once you die, you ressurect. You are still a villager, you can vote, but you can't talk.",Town,Villager
105,4,Charismatic Villager,"You are a villager that can't die during the day (only at night). If you are voted on and it results in a kill, the mod will say ""you live"" and the game continues.",Town,Villager
106,3,Hunter,"When you die, choose someone to also die.",Town,Kill
107,4,Super Hunter,"You are a villager. When you die, you can kill up to two people.",Town,Kill
108,2,Blind Hunter,"You are a villager. When you die, choose another player. That player chooses to kill someone.",Town,Kill
109,-1,Villager with a bomb,"If you are killed during the day by being downvoted, whoever nominated you FIRST dies",Town,Villager
110,2,Martyr,"When you die, choose one person and they cannot die during the next night phase.",Town,Medic
111,3,Warlock,"You are a villager. When you die, you may shoot someone, and you may choose someone to be protected the next night.",Town,Witch
112,2,Nark,"You are a villager. When you die, choose two players by messaging the mod. The first player's role will be messaged to the second player.",Town,Vision
113,3,True-Name Hunter,"You are a villager. When you die, choose another player. That player's role will be revealed to the village.",Town,Vision
114,3,King,"You are a villager. Once per game you get to 100% decide the vote (add a crown emote to a vote to use this power, the vote will go whichever direction your thumb goes)",Town,Voting
115,-1,Village Idiot,You must vote down on all nominations.,Town,Voting
116,0,Gremlin,"You are on the village team. If there is ever a vote with all upvotes, you die.",Town,Villager
117,-1,Village Pacifist,You must vote up on all nominations.,Town,Voting
118,3,Mayor,Your vote counts as two.,Town,Voting
119,1,Super Confused,You are a villager. Your downvotes count as upvotes and your upvotes count as downvotes.,Town,Voting
120,-1,Downvote Boy,"You are a villager. Your downvotes are worth 2, your upvotes are worth nothing.",Town,Voting
121,1,The Shill,"You are a villager, you must defend _____ if they are accused, and cannot vote down on him/her.",Town,Social
122,1,Villager with a grudge,You are a villager. Each day you have to nominate ____,Town,Voting
123,2,The Watcher,"Every night choose anger or calm. The next day your upvotes are worth double if you choose calm, or your downvotes are worth double if you choose anger.",Town,Voting
124,0,Bloodthirsty Villager,"While you are alive, tied votes kill people",Town,Voting
125,4,The Ironclad,"Every time you are nominated and live through a vote, your vote on subsequent nominations is worth +1.",Town,Voting
126,3,Beautiful Villager,Upvotes against you count twice,Town,Voting
127,1,Snakeoil Salesman,Your vote counts for two on the first vote of the day.,Town,Voting
128,-2,Hypochondriac,"You are a villager. As long as you are alive, healing roles will target you every night (they will not be told that their role is being messed with).",Town,Chaos
129,-2,Gravekeeper,"When all gravekeepers are dead, roles will no longer be revealed on death (your role will be revealed to the down, but you will be the last one).",Town,Info
130,-3,Skeptic,"You are on the village team. As long as you are alive, seeing roles recieve opposite information. When you die this goes away. (Werewolves kill before seer looks)",Town,Info
131,-3,Tasty Villager,"You are a villager. If the wolves eat you, they get two kills the next night.",Town,Villager
132,-2,Villager in love,"At the start of the game, choose someone to be in love with. If they die, you die too.",Town,Villager
133,-2,Hairy Villager,"If the seer looks at you, you look like a werewolf.",Town,Info
134,-1,Cemetary Owner,Only you are told the role of dead players,Town,Info
135,-1,Jester,You are a villager. You win the game if the wolves are all dead AND the seer dies.,Town,Villager
136,-2,Fragile Villager,"If the seer looks at you, you die",Town,Villager
137,-1,Smelly Villager,Downvotes against you count twice,Town,Villager
138,-1,Abraham Lincoln,"You are a villager. As long as you are alive, roles that shoot will always target you every night (they will not be told that their role is being messed with).",Town,Chaos
139,-1,Goblin,"You are a villager. If a vote is ever tied, you die",Town,Villager
